Row Range,File Name,File Path,Whitespace Ratio,Statement Words,Tabs,Underscores,Empty Lines,Mean Line Length,Mean Comment Length,1,2,3,4,5,6,7,8,9,10,11,Written
0-69,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.16268980477223427,0.0018076644974692696,0.0,0.0,0.0007230657989877079,0.013929346141927488,0.7700650759219089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70-139,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.2498200143988481,0.0014398848092152627,0.0,0.0007199424046076314,0.0028797696184305254,0.01929445644348452,0.08387329013678906,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-69,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.17283097131005876,0.0031109574835810577,0.0,0.0,0.0010369858278603526,0.013944990370845884,0.7196681645350846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70-139,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.16923076923076924,0.0057692307692307696,0.0,0.0,0.0038461538461538464,0.015762925598991173,0.1670940170940171,0.11475409836065575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-69,Base64Test.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\Base64Test.java,0.17543859649122806,0.0,0.0,0.0,0.008255933952528379,0.029302311036057165,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-69,BCConvert.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BCConvert.java,0.29476248477466505,0.004263093788063338,0.0,0.010962241169305725,0.0060901339829476245,0.013685401078823734,0.30267965895249693,0.17142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70-139,BCConvert.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BCConvert.java,0.37531486146095716,0.008816120906801008,0.0,0.008816120906801008,0.0012594458438287153,0.03326674194388952,0.2770780856423174,0.4827586206896553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-69,BeanStruct.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BeanStruct.java,0.23028169014084507,0.0,0.0,0.0,0.009859154929577466,0.014231658608366617,0.4658450704225352,0.07462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-69,BeanUtilTest.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BeanUtilTest.java,0.20372778500216732,0.0,0.0,0.002600780234070221,0.006935413957520589,0.013858443247259893,0.8318162115301257,0.18571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70-139,BeanUtilTest.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BeanUtilTest.java,0.22295897223373395,0.0,0.0,0.0020721094073767096,0.005801906340654786,0.01387721271683145,0.0,0.41428571428571437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
