Row Range,File Name,File Path,Whitespace Ratio,Statement Words,Tabs,Underscores,Empty Lines,Mean Line Length,Mean Comment Length,1,2,3,4,5,6,7,8,9,10,11,Written
0-49,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.17871948410870567,0.0018424689083371719,0.0,0.0,0.0,0.019548595117457393,0.981114693689544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50-99,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.18018018018018017,0.001386001386001386,0.0,0.000693000693000693,0.002772002772002772,0.01932085932085932,0.1432201432201432,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100-149,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.2759259259259259,0.001851851851851852,0.0,0.0,0.001851851851851852,0.048240740740740744,0.0962962962962963,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-49,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.18022181146025879,0.0018484288354898336,0.0,0.0,0.0004621072088724584,0.01954713493530499,0.9621072088724584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50-99,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.1418706842435656,0.005649717514124294,0.0,0.0,0.0018832391713747645,0.01938480853735091,0.2573760200878845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100-149,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.21294964028776978,0.007194244604316547,0.0,0.0,0.0057553956834532375,0.030865630076583897,0.9942446043165467,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-49,Base64Test.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\Base64Test.java,0.17543859649122806,0.0,0.0,0.0,0.008255933952528379,0.029302311036057165,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-49,BCConvert.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BCConvert.java,0.23195876288659795,0.0,0.0,0.01134020618556701,0.010309278350515464,0.018989690721649487,0.28144329896907216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50-99,BCConvert.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BCConvert.java,0.37994542974079126,0.009549795361527967,0.0,0.009549795361527967,0.001364256480218281,0.019739956009689006,0.8015006821282401,0.5306122448979594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-49,BeanStruct.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BeanStruct.java,0.225,0.0,0.0,0.0,0.009259259259259259,0.019092592592592595,0.4550925925925926,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
