Encoding Dim,AUC,F-1,Accuracy,Precision
5,0.6972943993029266,0.13813813813813816,0.8185267151438508,0.368
11,0.7093951929570773,0.14648729446935727,0.8194751817894405,0.3828125
16,0.7139905336756663,0.1561119293078056,0.8188428706923806,0.38405797101449274
22,0.7177779798689039,0.16,0.82073980398356,0.40298507462686567
28,0.719054326324531,0.18049490538573507,0.8220044261776794,0.4246575342465753
33,0.7184720218935188,0.16422287390029328,0.8197913373379703,0.3971631205673759
39,0.7161230650362143,0.15680473372781065,0.8197913373379703,0.3925925925925926
44,0.7158960650037858,0.1661807580174927,0.8191590262409105,0.3931034482758621
50,0.7153137605727733,0.15588235294117647,0.8185267151438508,0.381294964028777
56,0.7147734017999269,0.16105417276720352,0.8188428706923806,0.3873239436619718
