Encoding Dim,AUC,F-1,Accuracy,Precision
5,0.7126227811024418,0.21548821548821548,0.7948943661971831,0.3902439024390244
11,0.7528975077645632,0.27096774193548384,0.801056338028169,0.4421052631578947
16,0.7702724541070121,0.2631578947368421,0.8028169014084507,0.449438202247191
22,0.7741307476706311,0.261437908496732,0.801056338028169,0.43956043956043955
28,0.7822690200237357,0.2727272727272727,0.8028169014084507,0.45161290322580644
33,0.7802110951190567,0.26537216828478966,0.8001760563380281,0.43617021276595747
39,0.7855945256672474,0.24342105263157895,0.7975352112676056,0.4157303370786517
44,0.7870413857536045,0.2679738562091503,0.8028169014084507,0.45054945054945056
50,0.7831729919450547,0.2792207792207792,0.8045774647887324,0.46236559139784944
56,0.7900537838042572,0.27184466019417475,0.8019366197183099,0.44680851063829785
