Encoding Dim,AUC,F-1,Accuracy,Precision
5,0.7504798537588545,0.2274509803921569,0.7763904653802497,0.4461538461538462
11,0.7814608881102902,0.29457364341085274,0.793416572077185,0.5588235294117647
16,0.7967248076776602,0.30534351145038163,0.793416572077185,0.5555555555555556
22,0.7947254170157666,0.3271375464684015,0.7945516458569807,0.5569620253164557
28,0.7961764033818265,0.2962962962962963,0.7843359818388195,0.5
33,0.7956965496229721,0.3249097472924188,0.7877412031782066,0.5172413793103449
39,0.8018737146774316,0.3357664233576642,0.793416572077185,0.5476190476190477
44,0.8042996420138623,0.3381294964028777,0.7911464245175936,0.5340909090909091
50,0.810103587478102,0.3250883392226149,0.7832009080590239,0.4946236559139785
56,0.80565922766395,0.33212996389891697,0.7900113507377979,0.5287356321839081
