Index,API,Score,Actual
1,0,0,1
2,0,0,1
3,0,0,1
4,0,0,1
5,0,5.5,1
6,0,3.47,1
7,0,0,1
8,1,67.62,1
9,0,29.33,1
10,0,0,1
11,0,16.89,1
12,0,0,1
13,0,17.44,1
14,0,0,1
15,1,61.13,1
16,0,9.99,1
17,0,8.91,1
18,0,0,1
19,0,36.21,1
20,0,0,1
21,0,0,1
22,0,9.56,1
23,0,0,1
24,0,21.92,1
25,0,10.23,1
26,1,76.7,1
27,1,63.88,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,30.58,1
34,0,0,1
35,0,0,1
36,0,17.2,1
37,0,0,1
38,0,15.08,1
39,0,0,1
40,0,3.74,1
41,0,0,1
42,0,5.02,1
43,0,0,1
44,0,17.16,1
45,0,8.9,1
46,0,0,1
47,0,0,1
48,0,34.7,1
49,0,0,1
50,0,0,1
51,0,24.7,1
52,0,23.23,1
53,0,0,1
54,0,15.75,1
55,0,0,1
56,0,30.69,1
57,0,0,1
58,0,35.23,1
59,0,0,1
60,0,0,1
61,0,29.05,1
62,0,0,1
63,0,15.7,1
64,0,4.25,1
65,0,0,1
66,0,26.97,1
67,0,34.86,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,19.27,1
76,0,40.05,1
77,0,0,1
78,0,5.06,1
79,0,0,1
80,0,24.7,1
81,0,0,1
82,1,67.41,1
83,0,0,1
84,0,12.91,1
85,0,0,1
86,0,17.88,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,43.38,1
91,0,0,1
92,0,38.75,1
93,0,0,1
94,0,0,1
95,0,6.84,1
96,0,0,1
97,0,41.97,1
98,0,0,1
99,0,12.86,1
100,0,25.51,1
101,0,0,1
102,0,0,1
103,0,36.99,1
104,0,0,1
105,0,12.06,1
106,0,9.7,1
107,0,11.13,1
108,0,0,1
109,0,12.95,1
110,0,0,1
111,1,55.08,1
112,0,13.8,1
113,0,44.14,1
114,0,0,1
115,0,49.7,1
116,0,49.7,1
117,0,27.57,1
118,0,5.95,1
119,0,0,1
120,0,12.2,1
121,0,13.49,1
122,1,57.72,1
123,0,24.7,1
124,0,0,1
125,0,30.13,1
126,0,0,1
127,0,17.01,1
128,0,46.84,1
129,0,17.76,1
130,0,0,1
131,0,10.64,1
132,0,12.38,1
133,0,0,1
134,0,0,1
135,0,0,1
136,0,25.51,1
137,0,0,1
138,0,22.28,1
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,16.6,1
145,0,0,1
146,0,9.22,1
147,0,0,1
148,0,0,1
149,0,10.95,1
150,0,21.58,1
151,0,0,1
152,0,9.22,1
153,0,0,1
154,0,31.1,1
155,0,34.93,1
156,0,33.03,1
157,0,37.48,1
158,0,11.13,1
