Index,API,Score,Actual
1,0,0,1
2,0,0,1
3,0,0,1
4,0,5.5,1
5,0,2.66,1
6,0,0,1
7,1,67.62,1
8,0,25.51,1
9,0,0,1
10,0,13.45,1
11,0,0,1
12,0,17.44,1
13,1,50.29,1
14,0,0,1
15,0,9.16,1
16,0,31.21,1
17,0,7.05,1
18,0,0,1
19,0,14.7,1
20,0,0,1
21,0,26.87,1
22,0,8.12,1
23,0,0,1
24,0,48.01,1
25,0,0,1
26,0,0,1
27,0,0,1
28,1,90.7,1
29,0,10.12,1
30,0,0,1
31,0,9.07,1
32,0,12.86,1
33,0,3.51,1
34,0,5.02,1
35,0,17.16,1
36,0,6.54,1
37,0,0,1
38,0,0,1
39,0,27.26,1
40,0,0,1
41,0,24.7,1
42,0,9.7,1
43,0,0,1
44,0,15.75,1
45,0,21.7,1
46,0,0,1
47,0,28.12,1
48,0,0,1
49,0,0,1
50,0,11.02,1
51,0,5.26,1
52,0,0,1
53,0,29.61,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,19.27,1
61,0,40.05,1
62,0,0,1
63,0,0,1
64,0,24.7,1
65,1,67.41,1
66,0,0,1
67,0,11.77,1
68,0,0,1
69,0,17.88,1
70,0,0,1
71,0,0,1
72,0,43.38,1
73,0,38.75,1
74,0,0,1
75,0,5.51,1
76,0,0,1
77,0,2.73,1
78,0,12.05,1
79,0,24.09,1
80,0,13.75,1
81,0,0,1
82,0,0,1
83,0,36.99,1
84,0,23.77,1
85,0,24.96,1
86,0,0,1
87,0,24.44,1
88,0,28.73,1
89,0,23.77,1
90,1,81.7,1
91,0,0,1
92,0,44.6,1
93,0,36.66,1
94,0,27.57,1
95,0,0,1
96,0,8.69,1
97,0,9.11,1
98,0,0,1
99,0,42.04,1
100,0,22.43,1
101,0,23.23,1
102,0,0,1
103,0,17.01,1
104,0,0,1
105,0,0,1
106,0,0,1
107,0,10.64,1
108,0,12.38,1
109,0,0,1
110,1,82.7,1
111,0,20.21,1
112,0,0,1
113,0,18.12,1
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,0,1
119,0,13.82,1
120,0,0,1
121,0,7.39,1
122,0,0,1
123,0,0,1
124,0,16.06,1
125,0,17.2,1
126,0,0,1
127,0,0,1
128,0,0,1
129,1,67.27,1
130,0,29.51,1
131,0,0,1
132,0,39.23,1
133,0,0,1
134,0,0,1
135,1,61.09,1
136,0,18.62,1
137,0,0,1
138,0,23.03,1
139,0,11.06,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,13.34,1
147,1,77.7,1
148,0,16.37,1
149,0,11.47,1
150,0,1.7,1
151,0,0,1
152,0,46.37,1
153,0,0,1
154,0,0,1
155,0,16.37,1
156,0,15.77,1
157,0,15.86,1
