Index,API,Score,Actual
1,0,0,1
2,0,0,1
3,0,0,1
4,0,5.5,1
5,0,2.07,1
6,1,67.62,1
7,0,19.7,1
8,0,0,1
9,0,12.2,1
10,0,0,1
11,0,17.44,1
12,0,40.69,1
13,0,12,1
14,0,22.25,1
15,0,6.55,1
16,0,12.47,1
17,0,12.2,1
18,0,9.46,1
19,0,30.63,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,15.61,1
24,0,0,1
25,0,9.07,1
26,0,12.86,1
27,0,3.51,1
28,0,5.02,1
29,0,17.16,1
30,0,4.49,1
31,0,0,1
32,0,21.04,1
33,0,0,1
34,0,24.7,1
35,0,9.7,1
36,0,15.75,1
37,0,21.7,1
38,0,18.07,1
39,0,0,1
40,0,29.05,1
41,0,8.33,1
42,0,0,1
43,0,26.97,1
44,0,19.7,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,19.27,1
51,0,40.05,1
52,0,4.39,1
53,0,24.7,1
54,1,67.41,1
55,0,0,1
56,0,11.77,1
57,0,17.88,1
58,0,0,1
59,0,0,1
60,0,43.38,1
61,0,38.75,1
62,0,0,1
63,0,0,1
64,0,27.22,1
65,0,10.69,1
66,0,15.09,1
67,0,0,1
68,0,36.99,1
69,0,6.84,1
70,0,13.99,1
71,0,6.57,1
72,0,39.7,1
73,0,27.09,1
74,0,15.26,1
75,0,44.7,1
76,0,0,1
77,0,27.57,1
78,0,3.27,1
79,0,6.72,1
80,0,33.03,1
81,0,29.38,1
82,0,17.65,1
83,0,19.7,1
84,0,17.01,1
85,0,38.36,1
86,0,0,1
87,0,10.64,1
88,0,12.38,1
89,0,0,1
90,0,0,1
91,0,15.23,1
92,0,17.65,1
93,0,0,1
94,0,0,1
95,0,13.82,1
96,0,5.11,1
97,0,5.58,1
98,0,0,1
99,0,12.09,1
100,0,4.76,1
101,0,15.59,1
102,0,26.9,1
103,0,29.53,1
104,0,0,1
105,0,48.77,1
106,0,13.03,1
107,0,16.63,1
108,0,0,1
109,0,0,1
110,0,11.13,1
111,0,0,1
112,0,0,1
113,0,11.82,1
114,0,16.37,1
115,0,10.37,1
116,0,0,1
117,0,33.03,1
118,0,9.08,1
119,0,18.25,1
120,0,0,1
121,0,25.23,1
122,0,12.02,1
123,0,34.7,1
124,0,30.64,1
125,0,9.05,1
126,0,12.97,1
127,0,0,1
128,0,15.49,1
129,0,0,1
130,0,11.37,1
131,0,0,1
132,0,0,1
133,0,34.42,1
134,0,22.65,1
135,0,14.11,1
136,0,0,1
137,0,31.08,1
138,1,50.84,1
139,0,5.95,1
140,0,18.75,1
141,0,0,1
142,0,23.77,1
143,0,34.99,1
144,0,28.05,1
145,0,6.8,1
146,0,0,1
147,0,6.45,1
148,0,0,1
149,0,3.76,1
150,0,0,1
151,0,21.92,1
152,0,0,1
