Row Range,File Name,File Path,Whitespace Ratio,Statement Words,Tabs,Underscores,Empty Lines,Mean Line Length,Mean Comment Length,1,2,3,4,5,6,7,8,9,10,Written
0-49,ILog.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ILog.java,0.1623740201567749,0.0022396416573348264,0.043673012318029114,0.0,0.007838745800671893,0.018902575587905934,0.11814109742441209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,IMediainfoDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMediainfoDAO.java,0.11702127659574468,0.0,0.037993920972644375,0.0,0.00911854103343465,0.02630023640661939,0.15235562310030396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,IMQFactory.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQFactory.java,0.13479623824451412,0.0073145245559038665,0.03134796238244514,0.0,0.00522466039707419,0.02462288669185221,0.16536050156739812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,IMQListener.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQListener.java,0.11649016641452345,0.0,0.036308623298033284,0.0,0.009077155824508321,0.026306942343250966,0.13350983358547655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.14207149404216315,0.006416131989000917,0.035747021081576534,0.0,0.007332722273143905,0.019101741521539872,0.1151237396883593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50-99,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.13937282229965156,0.010452961672473868,0.04878048780487805,0.0,0.006968641114982578,0.05226480836236934,0.343205574912892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,InnerWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\InnerWorkerPool.java,0.06441717791411043,0.0,0.015337423312883436,0.003067484662576687,0.007668711656441718,0.051178559896674206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.12403951701427003,0.0,0.025246981339187707,0.0,0.003293084522502744,0.018924259055982436,0.1446761800219539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50-99,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.14202898550724638,0.0,0.06376811594202898,0.0,0.0,0.03888888888888889,0.2246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-49,IWorker.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorker.java,0.12333965844402277,0.0018975332068311196,0.021821631878557873,0.0,0.003795066413662239,0.019070208728652754,0.17836812144212524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
