Encoding Dim,AUC,F-1,Accuracy,Precision
5,0.7322347357715921,0.2310756972111554,0.7821670428893905,0.48333333333333334
11,0.8158763041922482,0.31538461538461543,0.7990970654627539,0.5942028985507246
16,0.8461636973143998,0.398576512455516,0.809255079006772,0.6222222222222222
22,0.8532976759953295,0.4152249134948097,0.809255079006772,0.6122448979591837
28,0.8426833402388036,0.38869257950530034,0.8047404063205418,0.5978260869565217
33,0.8601227918189008,0.45070422535211263,0.8239277652370203,0.6881720430107527
39,0.850156314738785,0.445993031358885,0.8205417607223476,0.6666666666666666
44,0.8573957587856418,0.38267148014440433,0.8069977426636569,0.6162790697674418
50,0.8578741195525256,0.39285714285714285,0.8081264108352144,0.6179775280898876
56,0.8601604580210176,0.43537414965986393,0.8126410835214447,0.6213592233009708
