Encoding Dim,AUC,F-1,Accuracy,Precision
132,0.6139148904971583,0.054313099041533544,0.812835915270313,0.2
265,0.6380456284164562,0.054140127388535034,0.8122036041732532,0.19540229885057472
398,0.6418309597025595,0.054140127388535034,0.8122036041732532,0.19540229885057472
531,0.6473156188711753,0.057052297939778125,0.8118874486247234,0.2
664,0.6405098477125869,0.05714285714285714,0.8122036041732532,0.20224719101123595
796,0.6399441100541277,0.05696202531645569,0.8115712930761935,0.1978021978021978
929,0.639957504465979,0.05696202531645569,0.8115712930761935,0.1978021978021978
1062,0.6452243281997487,0.057052297939778125,0.8118874486247234,0.2
1195,0.6495983086382677,0.057052297939778125,0.8118874486247234,0.2
13281,0.6521273850865208,0.059190031152647975,0.8090420486879545,0.18811881188118812
134,0.6795204539124562,0.0830860534124629,0.8118148599269184,0.4117647058823529
268,0.7014470677837015,0.08284023668639053,0.8112058465286236,0.4
402,0.7054917590340064,0.08284023668639053,0.8112058465286236,0.4
536,0.72398371278502,0.08235294117647057,0.8099878197320342,0.3783783783783784
670,0.722584954537276,0.08849557522123895,0.8118148599269184,0.4166666666666667
804,0.7356026491372066,0.08284023668639053,0.8112058465286236,0.4
938,0.7369940130682224,0.08284023668639053,0.8112058465286236,0.4
1072,0.7306915904435849,0.10495626822157433,0.8130328867235079,0.45
1206,0.7369829215931302,0.08235294117647057,0.8099878197320342,0.3783783783783784
13406,0.7683742608764237,0.11830985915492959,0.8093788063337394,0.40384615384615385
134,0.6328384213317174,0.06837606837606837,0.8080985915492958,0.42105263157894735
268,0.6384289069009923,0.051948051948051945,0.8072183098591549,0.375
403,0.6651693053556549,0.05217391304347826,0.8080985915492958,0.4
537,0.6562002878569806,0.051948051948051945,0.8072183098591549,0.375
672,0.6523975456404818,0.05957446808510638,0.8054577464788732,0.35
806,0.6750776456329066,0.05172413793103448,0.8063380281690141,0.35294117647058826
940,0.6742797262833624,0.059829059829059825,0.8063380281690141,0.3684210526315789
1075,0.6661616544201198,0.05172413793103448,0.8063380281690141,0.35294117647058826
1209,0.6730651718304169,0.05150214592274679,0.8054577464788732,0.3333333333333333
13440,0.7153624725399591,0.06611570247933884,0.801056338028169,0.2962962962962963
134,0.6137862746591515,0.03636363636363636,0.7593643586833144,0.13333333333333333
269,0.6220199558229873,0.0547945205479452,0.7650397275822929,0.20689655172413793
404,0.6215324853378018,0.07207207207207207,0.7661748013620885,0.25
538,0.6219552136491736,0.03686635944700461,0.7627695800227015,0.14814814814814814
673,0.636499352578262,0.046296296296296294,0.7661748013620885,0.19230769230769232
808,0.6281742706984539,0.03686635944700461,0.7627695800227015,0.14814814814814814
942,0.6223665168710488,0.019047619047619046,0.7661748013620885,0.1
1077,0.6432096884758931,0.019138755980861243,0.7673098751418842,0.10526315789473684
1212,0.6474522050422729,0.018691588785046728,0.7616345062429057,0.08333333333333333
13468,0.7056935029324396,0.019047619047619046,0.7661748013620885,0.1
134,0.5780408597071327,0.02325581395348837,0.768595041322314,0.07692307692307693
268,0.5726676901275389,0.03550295857988166,0.7754820936639119,0.13043478260869565
403,0.6071799716580066,0.07017543859649122,0.78099173553719,0.24
537,0.6107817666509211,0.036585365853658534,0.7823691460055097,0.16666666666666666
671,0.6059636277751536,0.04678362573099415,0.7754820936639119,0.16
806,0.5992973547472839,0.036585365853658534,0.7823691460055097,0.16666666666666666
940,0.5975318847425602,0.024242424242424242,0.778236914600551,0.10526315789473684
1074,0.6170229097779877,0.0,0.7768595041322314,0.0
1209,0.6279759093056212,0.012269938650306749,0.778236914600551,0.058823529411764705
13436,0.6910073216816249,0.011904761904761904,0.7713498622589532,0.045454545454545456
133,0.5697078035985766,0.02877697841726619,0.7829581993569131,0.1
266,0.6004978532168334,0.029411764705882353,0.7877813504823151,0.11764705882352941
400,0.5781111649431144,0.029411764705882353,0.7877813504823151,0.11764705882352941
533,0.5924703877574887,0.05714285714285714,0.7877813504823151,0.19047619047619047
666,0.5711445612042034,0.06993006993006995,0.7861736334405145,0.20833333333333334
800,0.580057470304225,0.028985507246376812,0.7845659163987139,0.10526315789473684
933,0.5988021451125183,0.07194244604316546,0.792604501607717,0.25
1066,0.605843928028468,0.029850746268656716,0.7909967845659164,0.13333333333333333
1200,0.5821207210518402,0.044117647058823525,0.7909967845659164,0.17647058823529413
13336,0.6677999231501746,0.027972027972027972,0.7765273311897106,0.08333333333333333
133,0.5414685105959606,0.04687499999999999,0.7789855072463768,0.23076923076923078
267,0.5788478758332505,0.046153846153846156,0.7753623188405797,0.2
401,0.5660531290418864,0.04580152671755725,0.7735507246376812,0.1875
535,0.593383742911153,0.046153846153846156,0.7753623188405797,0.2
669,0.5999502537060989,0.045454545454545456,0.7717391304347826,0.17647058823529413
802,0.5858223062381852,0.04580152671755725,0.7735507246376812,0.1875
936,0.5908765296985374,0.045454545454545456,0.7717391304347826,0.17647058823529413
1070,0.6015620336284946,0.060606060606060594,0.7753623188405797,0.23529411764705882
1204,0.6036215301960004,0.045454545454545456,0.7717391304347826,0.17647058823529413
13381,0.6782708188239975,0.06993006993006994,0.7590579710144928,0.17857142857142858
