Encoding Dim,AUC,F-1,Accuracy,Precision
132,0.6139148904971583,0.054313099041533544,0.812835915270313,0.2
265,0.6380456284164562,0.054140127388535034,0.8122036041732532,0.19540229885057472
398,0.6418309597025595,0.054140127388535034,0.8122036041732532,0.19540229885057472
531,0.6473156188711753,0.057052297939778125,0.8118874486247234,0.2
664,0.6405098477125869,0.05714285714285714,0.8122036041732532,0.20224719101123595
796,0.6399441100541277,0.05696202531645569,0.8115712930761935,0.1978021978021978
929,0.639957504465979,0.05696202531645569,0.8115712930761935,0.1978021978021978
1062,0.6452243281997487,0.057052297939778125,0.8118874486247234,0.2
1195,0.6495983086382677,0.057052297939778125,0.8118874486247234,0.2
13281,0.6521273850865208,0.059190031152647975,0.8090420486879545,0.18811881188118812
134,0.6795204539124562,0.0830860534124629,0.8118148599269184,0.4117647058823529
268,0.7014470677837015,0.08284023668639053,0.8112058465286236,0.4
402,0.7054917590340064,0.08284023668639053,0.8112058465286236,0.4
536,0.72398371278502,0.08235294117647057,0.8099878197320342,0.3783783783783784
670,0.722584954537276,0.08849557522123895,0.8118148599269184,0.4166666666666667
804,0.7356026491372066,0.08284023668639053,0.8112058465286236,0.4
938,0.7369940130682224,0.08284023668639053,0.8112058465286236,0.4
1072,0.7306915904435849,0.10495626822157433,0.8130328867235079,0.45
1206,0.7369829215931302,0.08235294117647057,0.8099878197320342,0.3783783783783784
13406,0.7683742608764237,0.11830985915492959,0.8093788063337394,0.40384615384615385
134,0.6328384213317174,0.06837606837606837,0.8080985915492958,0.42105263157894735
268,0.6384289069009923,0.051948051948051945,0.8072183098591549,0.375
403,0.6651693053556549,0.05217391304347826,0.8080985915492958,0.4
537,0.6562002878569806,0.051948051948051945,0.8072183098591549,0.375
672,0.6523975456404818,0.05957446808510638,0.8054577464788732,0.35
806,0.6750776456329066,0.05172413793103448,0.8063380281690141,0.35294117647058826
940,0.6742797262833624,0.059829059829059825,0.8063380281690141,0.3684210526315789
1075,0.6661616544201198,0.05172413793103448,0.8063380281690141,0.35294117647058826
1209,0.6730651718304169,0.05150214592274679,0.8054577464788732,0.3333333333333333
13440,0.7153624725399591,0.06611570247933884,0.801056338028169,0.2962962962962963
134,0.6137862746591515,0.03636363636363636,0.7593643586833144,0.13333333333333333
269,0.6220199558229873,0.0547945205479452,0.7650397275822929,0.20689655172413793
404,0.6215324853378018,0.07207207207207207,0.7661748013620885,0.25
538,0.6219552136491736,0.03686635944700461,0.7627695800227015,0.14814814814814814
673,0.636499352578262,0.046296296296296294,0.7661748013620885,0.19230769230769232
808,0.6281742706984539,0.03686635944700461,0.7627695800227015,0.14814814814814814
942,0.6223665168710488,0.019047619047619046,0.7661748013620885,0.1
1077,0.6432096884758931,0.019138755980861243,0.7673098751418842,0.10526315789473684
1212,0.6474522050422729,0.018691588785046728,0.7616345062429057,0.08333333333333333
13468,0.7056935029324396,0.019047619047619046,0.7661748013620885,0.1
