Encoding Dim,AUC,F-1,Accuracy,Precision
1328,0.6334365408014934,0.05687203791469194,0.8112551375276637,0.1956521739130435
2656,0.6320361197939799,0.05678233438485804,0.8109389819791337,0.1935483870967742
3984,0.6394344174347305,0.056692913385826764,0.8106228264306039,0.19148936170212766
5312,0.636198609519056,0.05678233438485804,0.8109389819791337,0.1935483870967742
6640,0.6369596236029277,0.056692913385826764,0.8106228264306039,0.19148936170212766
7968,0.634149616990318,0.056603773584905655,0.810306670882074,0.18947368421052632
9296,0.6335200796333034,0.05678233438485804,0.8109389819791337,0.1935483870967742
10624,0.6337467271812094,0.05651491365777079,0.8099905153335442,0.1875
11952,0.6379187339883906,0.059375,0.8096743597850142,0.1919191919191919
13281,0.629177117832756,0.056603773584905655,0.810306670882074,0.18947368421052632
