Encoding Dim,AUC,F-1,Accuracy,Precision
1344,0.6480923162386689,0.0588235294117647,0.8028169014084507,0.30434782608695654
2688,0.6471327929702295,0.06639004149377593,0.8019366197183099,0.3076923076923077
4032,0.6576572481882685,0.050847457627118633,0.8028169014084507,0.2857142857142857
5376,0.6649673004570361,0.049999999999999996,0.7992957746478874,0.24
6720,0.6595990202762417,0.05042016806722689,0.801056338028169,0.2608695652173913
8064,0.6697775421053961,0.050209205020920494,0.8001760563380281,0.25
9408,0.6782516476024543,0.049999999999999996,0.7992957746478874,0.24
10752,0.6784082013988839,0.049999999999999996,0.7992957746478874,0.24
12096,0.6705072848016563,0.050632911392405056,0.8019366197183099,0.2727272727272727
13440,0.6763275509431105,0.050632911392405056,0.8019366197183099,0.2727272727272727
