Encoding Dim,AUC,F-1,Accuracy,Precision
1343,0.5758325460557393,0.047619047619047616,0.7796143250688705,0.18181818181818182
2687,0.5935403873405763,0.023668639053254437,0.7727272727272727,0.08695652173913043
4030,0.602332309872461,0.012121212121212121,0.7754820936639119,0.05263157894736842
5374,0.6273382144544167,0.011976047904191617,0.7727272727272727,0.047619047619047616
6718,0.6245276334435521,0.0,0.7699724517906336,0.0
8061,0.6373582900330655,0.011976047904191617,0.7727272727272727,0.047619047619047616
9405,0.6140529050543222,0.011976047904191617,0.7727272727272727,0.047619047619047616
10748,0.6405703826169107,0.0,0.7768595041322314,0.0
12092,0.6371043930089749,0.012048192771084336,0.7741046831955923,0.05
13436,0.6375354274917335,0.012121212121212121,0.7754820936639119,0.05263157894736842
1333,0.5811099787827656,0.04316546762589928,0.7861736334405145,0.15
2667,0.5836744240439715,0.02877697841726619,0.7829581993569131,0.1
4000,0.5962627595769918,0.029197080291970802,0.7861736334405145,0.1111111111111111
5334,0.6014835357602284,0.04316546762589928,0.7861736334405145,0.15
6668,0.6280886111900028,0.02962962962962963,0.7893890675241158,0.125
8001,0.6206375194212874,0.028985507246376812,0.7845659163987139,0.10526315789473684
9335,0.6302019813889771,0.029411764705882353,0.7877813504823151,0.11764705882352941
10668,0.6243630653056451,0.02962962962962963,0.7893890675241158,0.125
12002,0.6340945921111985,0.02877697841726619,0.7829581993569131,0.1
13336,0.6228678350067661,0.02962962962962963,0.7893890675241158,0.125
